date,cases
2020-01-22,555
2020-01-23,654
2020-01-24,941
2020-01-25,1434
2020-01-26,2118
2020-01-27,2927
2020-01-28,5578
2020-01-29,6167
2020-01-30,8235
2020-01-31,9927
2020-02-01,12038
2020-02-02,16787
2020-02-03,19887
2020-02-04,23898
2020-02-05,27643
2020-02-06,30803
2020-02-07,34396
2020-02-08,37130
2020-02-09,40160
2020-02-10,42769
2020-02-11,44811
2020-02-12,45229
2020-02-13,60382
2020-02-14,66909
2020-02-15,69051
2020-02-16,71235
2020-02-17,73270
2020-02-18,75152
2020-02-19,75652
2020-02-20,76212
2020-02-21,76841
2020-02-22,78602
2020-02-23,78982
2020-02-24,79546
2020-02-25,80399
2020-02-26,81376
2020-02-27,82736
2020-02-28,84123
2020-02-29,86013
2020-03-01,88394
2020-03-02,90377
2020-03-03,92963
2020-03-04,95279
2020-03-05,98044
2020-03-06,102043
2020-03-07,106109
2020-03-08,110058
2020-03-09,114027
2020-03-10,119052
2020-03-11,126702
2020-03-12,132492
2020-03-13,146879
2020-03-14,157952
2020-03-15,169222
2020-03-16,184032
2020-03-17,199976
2020-03-18,219535
2020-03-19,246584
2020-03-20,277361
2020-03-21,309363
2020-03-22,343679
2020-03-23,387045
2020-03-24,428455
2020-03-25,479489
2020-03-26,542352
2020-03-27,607469
2020-03-28,674773
2020-03-29,734025
2020-03-30,799411
2020-03-31,876288
2020-04-01,952799
2020-04-02,1034089
2020-04-03,1117368
2020-04-04,1197751
2020-04-05,1269728
2020-04-06,1342938
2020-04-07,1420723
2020-04-08,1505115
2020-04-09,1591308
2020-04-10,1678725
2020-04-11,1754891
2020-04-12,1850360
2020-04-13,1920520
2020-04-14,1991778
2020-04-15,2073664
2020-04-16,2170502
2020-04-17,2258252
2020-04-18,2331730
2020-04-19,2411760
2020-04-20,2486338
2020-04-21,2562292
2020-04-22,2639997
2020-04-23,2727920
2020-04-24,2812308
2020-04-25,2895700
2020-04-26,2967573
2020-04-27,3037307
2020-04-28,3112773
2020-04-29,3190203
2020-04-30,3273574
2020-05-01,3360772
2020-05-02,3440772
2020-05-03,3517290
2020-05-04,3594385
2020-05-05,3674853
2020-05-06,3764797
2020-05-07,3853808
2020-05-08,3944935
2020-05-09,4029856
2020-05-10,4105084
2020-05-11,4181990
2020-05-12,4266257
2020-05-13,4351117
2020-05-14,4447724
2020-05-15,4544111
2020-05-16,4638322
2020-05-17,4715953
2020-05-18,4804660
2020-05-19,4901910
2020-05-20,5004285
2020-05-21,5111091
2020-05-22,5217070
2020-05-23,5321646
2020-05-24,5416049
2020-05-25,5502479
2020-05-26,5595745
2020-05-27,5698752
2020-05-28,5818252
2020-05-29,5939196
2020-05-30,6076190
2020-05-31,6182739
2020-06-01,6277899
2020-06-02,6399361
2020-06-03,6517569
2020-06-04,6644525
2020-06-05,6775668
2020-06-06,6910017
2020-06-07,7021891
2020-06-08,7124396
2020-06-09,7249171
2020-06-10,7383937
2020-06-11,7521941
2020-06-12,7650546
2020-06-13,7785982
2020-06-14,7918439
2020-06-15,8037804
2020-06-16,8179644
2020-06-17,8322779
2020-06-18,8462906
2020-06-19,8642483
2020-06-20,8799337
2020-06-21,8927572
2020-06-22,9065725
2020-06-23,9231558
2020-06-24,9402525
2020-06-25,9580790
2020-06-26,9772323
2020-06-27,9949686
2020-06-28,10112687
2020-06-29,10268359
2020-06-30,10442416
2020-07-01,10659787
2020-07-02,10868757
2020-07-03,11070703
2020-07-04,11264129
2020-07-05,11446765
2020-07-06,11612269
2020-07-07,11823759
2020-07-08,12036715
2020-07-09,12264379
