date,cases
2020-01-22,17
2020-01-23,18
2020-01-24,26
2020-01-25,42
2020-01-26,56
2020-01-27,82
2020-01-28,131
2020-01-29,133
2020-01-30,171
2020-01-31,213
2020-02-01,259
2020-02-02,362
2020-02-03,426
2020-02-04,492
2020-02-05,564
2020-02-06,634
2020-02-07,719
2020-02-08,806
2020-02-09,906
2020-02-10,1013
2020-02-11,1113
2020-02-12,1118
2020-02-13,1371
2020-02-14,1523
2020-02-15,1666
2020-02-16,1770
2020-02-17,1868
2020-02-18,2008
2020-02-19,2123
2020-02-20,2248
2020-02-21,2252
2020-02-22,2459
2020-02-23,2470
2020-02-24,2630
2020-02-25,2710
2020-02-26,2771
2020-02-27,2814
2020-02-28,2873
2020-02-29,2942
2020-03-01,2996
2020-03-02,3085
2020-03-03,3160
2020-03-04,3255
2020-03-05,3348
2020-03-06,3460
2020-03-07,3559
2020-03-08,3803
2020-03-09,3987
2020-03-10,4267
2020-03-11,4611
2020-03-12,4917
2020-03-13,5414
2020-03-14,5834
2020-03-15,6475
2020-03-16,7153
2020-03-17,7964
2020-03-18,8867
2020-03-19,9980
2020-03-20,11459
2020-03-21,13181
2020-03-22,14855
2020-03-23,16797
2020-03-24,19082
2020-03-25,21881
2020-03-26,24902
2020-03-27,28393
2020-03-28,32109
2020-03-29,35585
2020-03-30,39637
2020-03-31,44389
2020-04-01,49897
2020-04-02,56132
2020-04-03,62242
2020-04-04,68409
2020-04-05,73580
2020-04-06,79526
2020-04-07,87754
2020-04-08,94514
2020-04-09,102274
2020-04-10,109675
2020-04-11,115902
2020-04-12,121726
2020-04-13,127630
2020-04-14,134609
2020-04-15,142964
2020-04-16,150251
2020-04-17,158618
2020-04-18,164638
2020-04-19,169899
2020-04-20,175758
2020-04-21,182945
2020-04-22,189674
2020-04-23,196511
2020-04-24,203177
2020-04-25,208812
2020-04-26,212753
2020-04-27,217426
2020-04-28,223972
2020-04-29,230707
2020-04-30,236701
2020-05-01,241851
2020-05-02,247328
2020-05-03,250800
2020-05-04,254899
2020-05-05,260785
2020-05-06,267328
2020-05-07,272620
2020-05-08,278101
2020-05-09,282389
2020-05-10,285982
2020-05-11,289449
2020-05-12,294972
2020-05-13,300048
2020-05-14,305230
2020-05-15,310345
2020-05-16,314522
2020-05-17,317808
2020-05-18,321501
2020-05-19,326221
2020-05-20,330982
