date,cases
2020-01-22,28
2020-01-23,30
2020-01-24,36
2020-01-25,39
2020-01-26,52
2020-01-27,61
2020-01-28,107
2020-01-29,126
2020-01-30,143
2020-01-31,222
2020-02-01,284
2020-02-02,472
2020-02-03,623
2020-02-04,852
2020-02-05,1124
2020-02-06,1487
2020-02-07,2011
2020-02-08,2616
2020-02-09,3244
2020-02-10,3946
2020-02-11,4683
2020-02-12,5150
2020-02-13,6295
2020-02-14,8058
2020-02-15,9395
2020-02-16,10865
2020-02-17,12583
2020-02-18,14352
2020-02-19,16121
2020-02-20,18177
2020-02-21,18890
2020-02-22,22886
2020-02-23,23394
2020-02-24,25227
2020-02-25,27905
2020-02-26,30384
2020-02-27,33276
2020-02-28,36710
2020-02-29,39781
2020-03-01,42715
2020-03-02,45601
2020-03-03,48227
2020-03-04,51169
2020-03-05,53795
2020-03-06,55863
2020-03-07,58357
2020-03-08,60692
2020-03-09,62491
2020-03-10,64400
2020-03-11,66998
2020-03-12,68320
2020-03-13,70248
2020-03-14,72619
2020-03-15,76029
2020-03-16,78083
2020-03-17,80830
2020-03-18,83316
2020-03-19,84958
2020-03-20,87402
2020-03-21,91648
2020-03-22,97867
2020-03-23,98336
2020-03-24,107970
2020-03-25,113754
2020-03-26,122126
2020-03-27,130911
2020-03-28,139419
2020-03-29,148864
2020-03-30,164323
2020-03-31,177811
2020-04-01,193172
2020-04-02,210226
2020-04-03,225679
2020-04-04,246122
2020-04-05,260015
2020-04-06,276606
2020-04-07,299932
2020-04-08,328749
2020-04-09,354002
2020-04-10,375786
2020-04-11,402036
2020-04-12,421462
2020-04-13,448720
2020-04-14,473792
2020-04-15,510366
2020-04-16,541282
2020-04-17,567473
2020-04-18,591332
2020-04-19,623097
2020-04-20,645251
2020-04-21,680052
2020-04-22,710180
2020-04-23,738911
2020-04-24,788995
2020-04-25,816706
2020-04-26,845447
2020-04-27,873295
2020-04-28,906503
2020-04-29,948551
2020-04-30,1013642
2020-05-01,1051769
2020-05-02,1092429
2020-05-03,1124923
2020-05-04,1158983
2020-05-05,1195450
2020-05-06,1241566
2020-05-07,1281058
2020-05-08,1317467
2020-05-09,1370954
2020-05-10,1404741
2020-05-11,1451612
2020-05-12,1488648
2020-05-13,1544558
2020-05-14,1584235
2020-05-15,1632322
2020-05-16,1688733
2020-05-17,1729735
2020-05-18,1782629
2020-05-19,1834691
2020-05-20,1893678
2020-05-21,1944890
2020-05-22,2053495
2020-05-23,2108342
2020-05-24,2163864
2020-05-25,2227564
2020-05-26,2282728
2020-05-27,2346070
2020-05-28,2412936
2020-05-29,2490221
2020-05-30,2560679
2020-05-31,2637065
2020-06-01,2691986
