date,cases
2020-01-22,-68894041
2020-01-23,99
2020-01-24,287
2020-01-25,493
2020-01-26,684
2020-01-27,809
2020-01-28,2651
2020-01-29,589
2020-01-30,2068
2020-01-31,1692
2020-02-01,2111
2020-02-02,4749
2020-02-03,3100
2020-02-04,4011
2020-02-05,3745
2020-02-06,3160
2020-02-07,3593
2020-02-08,2734
2020-02-09,3030
2020-02-10,2609
2020-02-11,2042
2020-02-12,418
2020-02-13,15153
2020-02-14,6527
2020-02-15,2142
2020-02-16,2184
2020-02-17,2035
2020-02-18,1882
2020-02-19,500
2020-02-20,560
2020-02-21,629
2020-02-22,1761
2020-02-23,380
2020-02-24,564
2020-02-25,853
2020-02-26,977
2020-02-27,1360
2020-02-28,1387
2020-02-29,1890
2020-03-01,2381
2020-03-02,1983
2020-03-03,2586
2020-03-04,2316
2020-03-05,2765
2020-03-06,3999
2020-03-07,4066
2020-03-08,3949
2020-03-09,3969
2020-03-10,5025
2020-03-11,7650
2020-03-12,5790
2020-03-13,14387
2020-03-14,11073
2020-03-15,11270
2020-03-16,14810
2020-03-17,15944
2020-03-18,19559
2020-03-19,27049
2020-03-20,30777
2020-03-21,32002
2020-03-22,34316
2020-03-23,43366
2020-03-24,41410
2020-03-25,51034
2020-03-26,62863
2020-03-27,65117
2020-03-28,67304
2020-03-29,59252
2020-03-30,65386
2020-03-31,76877
2020-04-01,76511
2020-04-02,81290
2020-04-03,83279
2020-04-04,80383
2020-04-05,71977
2020-04-06,73210
2020-04-07,77785
2020-04-08,84392
2020-04-09,86193
2020-04-10,87417
2020-04-11,76166
2020-04-12,95469
2020-04-13,70160
2020-04-14,71258
2020-04-15,81886
2020-04-16,96838
2020-04-17,87750
2020-04-18,73478
2020-04-19,80030
2020-04-20,74578
2020-04-21,75954
2020-04-22,77705
2020-04-23,87923
2020-04-24,84388
2020-04-25,83392
2020-04-26,71873
2020-04-27,69734
2020-04-28,75466
2020-04-29,77430
2020-04-30,83371
2020-05-01,87198
2020-05-02,80000
2020-05-03,76518
2020-05-04,77095
2020-05-05,80468
2020-05-06,89944
2020-05-07,89011
2020-05-08,91127
2020-05-09,84921
2020-05-10,75228
2020-05-11,76906
2020-05-12,84267
2020-05-13,84860
2020-05-14,96607
2020-05-15,96387
2020-05-16,94211
2020-05-17,77631
2020-05-18,88707
2020-05-19,97250
2020-05-20,102375
2020-05-21,106806
2020-05-22,105979
2020-05-23,104576
2020-05-24,94403
2020-05-25,86430
2020-05-26,93266
2020-05-27,103007
2020-05-28,119500
2020-05-29,120944
2020-05-30,136994
2020-05-31,106549
2020-06-01,95160
2020-06-02,121462
2020-06-03,118208
2020-06-04,126956
2020-06-05,131143
2020-06-06,134349
2020-06-07,111874
2020-06-08,102505
2020-06-09,124775
2020-06-10,134766
2020-06-11,138004
2020-06-12,128605
2020-06-13,135436
2020-06-14,132457
2020-06-15,119365
2020-06-16,141840
2020-06-17,143135
2020-06-18,140127
2020-06-19,179577
2020-06-20,156854
2020-06-21,128235
2020-06-22,138153
2020-06-23,165833
2020-06-24,170967
2020-06-25,178265
2020-06-26,191533
2020-06-27,177363
2020-06-28,163001
2020-06-29,155672
2020-06-30,174057
2020-07-01,217371
2020-07-02,208970
2020-07-03,201946
2020-07-04,193426
2020-07-05,182636
2020-07-06,165504
2020-07-07,211490
2020-07-08,212956
2020-07-09,227664
2020-07-10,232425
2020-07-11,216259
2020-07-12,192861
2020-07-13,191536
2020-07-14,221515
2020-07-15,231283
2020-07-16,252476
2020-07-17,242121
2020-07-18,236137
2020-07-19,213718
2020-07-20,206364
2020-07-21,233426
2020-07-22,281444
2020-07-23,282626
2020-07-24,281030
2020-07-25,254521
2020-07-26,212997
2020-07-27,225679
2020-07-28,252254
2020-07-29,290168
2020-07-30,280248
2020-07-31,291509
2020-08-01,249970
2020-08-02,231607
2020-08-03,202152
2020-08-04,258823
2020-08-05,274841
2020-08-06,286406
2020-08-07,282848
2020-08-08,258754
2020-08-09,225297
2020-08-10,226431
2020-08-11,255140
2020-08-12,279541
2020-08-13,286953
2020-08-14,305797
2020-08-15,247616
2020-08-16,213491
2020-08-17,210460
2020-08-18,256147
2020-08-19,275880
2020-08-20,267816
2020-08-21,270998
2020-08-22,264907
2020-08-23,206729
2020-08-24,225154
2020-08-25,243532
2020-08-26,289270
2020-08-27,278601
2020-08-28,283435
2020-08-29,261125
2020-08-30,226893
2020-08-31,262686
2020-09-01,264610
2020-09-02,283442
2020-09-03,281039
2020-09-04,313986
2020-09-05,261449
2020-09-06,223811
2020-09-07,233480
2020-09-08,241423
2020-09-09,285627
2020-09-10,299089
2020-09-11,321124
2020-09-12,276087
2020-09-13,236466
2020-09-14,279749
2020-09-15,285572
2020-09-16,303745
2020-09-17,314820
2020-09-18,325300
2020-09-19,279111
2020-09-20,241596
2020-09-21,299291
2020-09-22,284355
2020-09-23,263392
2020-09-24,363652
2020-09-25,330673
2020-09-26,273918
2020-09-27,240844
2020-09-28,275018
2020-09-29,285947
2020-09-30,327627
2020-10-01,317906
2020-10-02,297296
2020-10-03,315812
2020-10-04,249275
2020-10-05,329532
2020-10-06,325353
2020-10-07,349507
2020-10-08,361759
2020-10-09,360133
2020-10-10,329459
2020-10-11,271116
2020-10-12,324749
2020-10-13,328568
2020-10-14,381158
2020-10-15,407321
2020-10-16,410783
2020-10-17,340799
2020-10-18,286735
2020-10-19,448160
2020-10-20,388577
2020-10-21,444251
2020-10-22,472585
2020-10-23,495666
2020-10-24,411628
2020-10-25,353582
2020-10-26,537575
2020-10-27,469334
2020-10-28,509412
2020-10-29,550883
2020-10-30,570176
2020-10-31,476105
2020-11-01,433626
2020-11-02,508593
2020-11-03,515020
2020-11-04,597726
2020-11-05,593866
2020-11-06,642314
2020-11-07,510858
2020-11-08,565667
2020-11-09,501446
2020-11-10,556140
2020-11-11,645408
2020-11-12,647336
2020-11-13,649123
2020-11-14,593937
2020-11-15,473653
2020-11-16,529063
2020-11-17,608219
2020-11-18,624072
2020-11-19,650767
2020-11-20,665858
2020-11-21,586335
2020-11-22,484273
2020-11-23,521699
2020-11-24,588303
2020-11-25,633045
2020-11-26,581314
2020-11-27,672318
2020-11-28,598701
2020-11-29,486678
2020-11-30,505910
2020-12-01,604959
2020-12-02,646584
2020-12-03,690539
2020-12-04,678344
2020-12-05,640599
2020-12-06,533695
2020-12-07,517609
2020-12-08,634412
2020-12-09,668873
