date,cases
2020-01-22,-1569357
2020-01-23,1
2020-01-24,8
2020-01-25,16
2020-01-26,14
2020-01-27,26
2020-01-28,49
2020-01-29,2
2020-01-30,38
2020-01-31,42
2020-02-01,46
2020-02-02,103
2020-02-03,64
2020-02-04,66
2020-02-05,72
2020-02-06,70
2020-02-07,85
2020-02-08,87
2020-02-09,100
2020-02-10,107
2020-02-11,100
2020-02-12,5
2020-02-13,253
2020-02-14,152
2020-02-15,143
2020-02-16,104
2020-02-17,98
2020-02-18,140
2020-02-19,115
2020-02-20,125
2020-02-21,4
2020-02-22,207
2020-02-23,11
2020-02-24,160
2020-02-25,80
2020-02-26,61
2020-02-27,43
2020-02-28,59
2020-02-29,69
2020-03-01,54
2020-03-02,89
2020-03-03,75
2020-03-04,95
2020-03-05,93
2020-03-06,112
2020-03-07,99
2020-03-08,244
2020-03-09,184
2020-03-10,280
2020-03-11,344
2020-03-12,306
2020-03-13,497
2020-03-14,420
2020-03-15,641
2020-03-16,678
2020-03-17,811
2020-03-18,903
2020-03-19,1113
2020-03-20,1479
2020-03-21,1722
2020-03-22,1674
2020-03-23,1942
2020-03-24,2285
2020-03-25,2799
2020-03-26,3021
2020-03-27,3491
2020-03-28,3716
2020-03-29,3476
2020-03-30,4052
2020-03-31,4752
2020-04-01,5508
2020-04-02,6235
2020-04-03,6110
2020-04-04,6167
2020-04-05,5171
2020-04-06,5946
2020-04-07,8228
2020-04-08,6760
2020-04-09,7760
2020-04-10,7401
2020-04-11,6227
2020-04-12,5824
2020-04-13,5904
2020-04-14,6979
2020-04-15,8355
2020-04-16,7287
2020-04-17,8367
2020-04-18,6020
2020-04-19,5261
2020-04-20,5859
2020-04-21,7187
2020-04-22,6729
2020-04-23,6837
2020-04-24,6666
2020-04-25,5635
2020-04-26,3941
2020-04-27,4673
2020-04-28,6546
2020-04-29,6735
2020-04-30,5994
2020-05-01,5150
2020-05-02,5477
2020-05-03,3472
2020-05-04,4099
2020-05-05,5886
2020-05-06,6543
2020-05-07,5292
2020-05-08,5481
2020-05-09,4288
2020-05-10,3593
2020-05-11,3467
2020-05-12,5523
2020-05-13,5076
2020-05-14,5182
2020-05-15,5115
2020-05-16,4177
2020-05-17,3286
2020-05-18,3693
2020-05-19,4720
2020-05-20,4761
2020-05-21,4725
2020-05-22,5195
2020-05-23,3916
2020-05-24,3123
2020-05-25,1201
2020-05-26,4119
2020-05-27,5138
2020-05-28,4621
2020-05-29,4587
2020-05-30,4065
2020-05-31,2975
2020-06-01,3080
2020-06-02,4723
2020-06-03,5436
2020-06-04,5116
2020-06-05,4567
2020-06-06,3850
2020-06-07,2743
2020-06-08,3679
2020-06-09,4835
2020-06-10,5060
2020-06-11,4681
2020-06-12,4215
2020-06-13,4192
2020-06-14,3414
2020-06-15,3417
2020-06-16,6719
2020-06-17,5088
2020-06-18,4980
2020-06-19,6151
2020-06-20,4203
2020-06-21,4008
2020-06-22,3554
2020-06-23,5223
2020-06-24,5174
2020-06-25,4696
2020-06-26,4700
2020-06-27,4477
2020-06-28,3138
2020-06-29,3723
2020-06-30,4948
2020-07-01,4929
2020-07-02,5058
2020-07-03,4936
2020-07-04,4369
2020-07-05,3474
2020-07-06,3832
2020-07-07,6012
2020-07-08,5277
2020-07-09,5408
2020-07-10,5293
2020-07-11,4790
2020-07-12,3991
2020-07-13,3841
2020-07-14,5578
2020-07-15,5425
2020-07-16,5760
2020-07-17,6661
2020-07-18,5614
2020-07-19,4060
2020-07-20,4182
2020-07-21,6164
