date,cases
2020-01-22,-1569346
2020-01-23,13
2020-01-24,18
2020-01-25,13
2020-01-26,10
2020-01-27,5
2020-01-28,25
2020-01-29,-5
2020-01-30,10
2020-01-31,51
2020-02-01,71
2020-02-02,213
2020-02-03,261
2020-02-04,426
2020-02-05,632
2020-02-06,923
2020-02-07,1377
2020-02-08,1897
2020-02-09,2438
2020-02-10,3040
2020-02-11,3670
2020-02-12,4037
2020-02-13,5177
2020-02-14,6687
2020-02-15,7872
2020-02-16,9199
2020-02-17,10813
2020-02-18,12484
2020-02-19,14113
2020-02-20,16054
2020-02-21,16642
2020-02-22,20634
2020-02-23,20935
2020-02-24,22757
2020-02-25,25275
2020-02-26,27674
2020-02-27,30505
2020-02-28,33896
2020-02-29,36908
2020-03-01,39773
2020-03-02,42605
2020-03-03,45142
2020-03-04,48009
2020-03-05,50540
2020-03-06,52515
2020-03-07,54897
2020-03-08,57133
2020-03-09,58688
2020-03-10,60413
2020-03-11,62731
2020-03-12,63709
2020-03-13,65331
2020-03-14,67205
2020-03-15,70195
2020-03-16,71608
2020-03-17,73677
2020-03-18,75352
2020-03-19,76091
2020-03-20,77422
2020-03-21,80189
2020-03-22,84686
2020-03-23,83481
2020-03-24,91173
2020-03-25,94672
2020-03-26,100245
2020-03-27,106009
2020-03-28,111026
2020-03-29,116755
2020-03-30,128738
2020-03-31,138174
2020-04-01,148783
2020-04-02,160329
2020-04-03,169547
2020-04-04,183880
2020-04-05,191606
2020-04-06,203026
2020-04-07,220406
2020-04-08,240995
2020-04-09,259488
2020-04-10,273512
2020-04-11,292361
2020-04-12,305560
2020-04-13,326994
2020-04-14,346162
2020-04-15,375757
2020-04-16,398318
2020-04-17,417222
2020-04-18,432714
2020-04-19,458459
2020-04-20,475352
2020-04-21,504294
2020-04-22,527235
2020-04-23,549237
2020-04-24,592484
2020-04-25,613529
2020-04-26,636635
2020-04-27,660542
2020-04-28,689077
2020-04-29,724579
2020-04-30,782935
2020-05-01,815068
2020-05-02,850578
2020-05-03,877595
2020-05-04,908183
2020-05-05,940551
2020-05-06,980781
2020-05-07,1013730
2020-05-08,1044847
2020-05-09,1092853
2020-05-10,1122352
2020-05-11,1165630
2020-05-12,1199199
2020-05-13,1249586
2020-05-14,1284187
2020-05-15,1327092
2020-05-16,1378388
2020-05-17,1415213
2020-05-18,1464821
2020-05-19,1513190
2020-05-20,1567457
2020-05-21,1613908
2020-05-22,1717788
2020-05-23,1767440
2020-05-24,1819046
2020-05-25,1879623
2020-05-26,1933586
2020-05-27,1992809
2020-05-28,2054537
2020-05-29,2127201
